Period (s),ActualPosition (mm),Gate,Trigger
0.176947,12.802240,0,0
0.177152,12.803265,0,0
0.177357,12.804275,0,0
0.177562,12.805305,0,0
0.177766,12.806320,0,0
0.177971,12.807330,0,0
0.178176,12.808355,0,0
0.178381,12.809380,0,0
0.178586,12.810400,0,0
0.178790,12.811405,0,0
0.178995,12.812425,0,0
0.179200,12.813445,0,0
0.179405,12.814475,0,0
0.179610,12.815495,0,0
0.179814,12.816500,0,0
0.180019,12.817520,0,0
0.180224,12.818545,0,0
0.180429,12.819580,0,0
0.180634,12.820620,0,0
0.180838,12.821650,0,0
0.181043,12.822675,0,0
0.181248,12.823690,0,0
0.181453,12.824700,0,0
0.181658,12.825720,0,0
0.181862,12.826735,0,0
0.182067,12.827750,0,0
0.182272,12.828770,0,0
0.182477,12.829810,0,0
0.182682,12.830845,0,0
0.182886,12.831875,0,0
0.183091,12.832895,0,0
0.183296,12.833925,0,0
0.183501,12.834950,0,0
0.183706,12.835960,0,0
0.183910,12.836975,0,0
0.184115,12.838015,0,0
0.184320,12.839055,0,0
0.184525,12.840090,0,0
0.184730,12.841120,0,0
0.184934,12.842160,0,0
0.185139,12.843185,0,0
0.185344,12.844210,0,0
0.185549,12.845245,0,0
0.185754,12.846285,0,0
0.185958,12.847310,0,0
0.186163,12.848335,0,0
0.186368,12.849375,0,0
0.186573,12.850415,0,0
0.186778,12.851450,0,0
0.186982,12.852495,0,0
0.187187,12.853520,0,0
0.187392,12.854535,0,0
0.187597,12.855570,0,0
0.187802,12.856595,0,0
0.188006,12.857615,0,0
0.188211,12.858650,0,0
0.188416,12.859685,0,0
0.188621,12.860730,0,0
0.188826,12.861780,0,0
0.189030,12.862820,0,0
0.189235,12.863850,0,0
0.189440,12.864880,0,0
0.189645,12.865905,0,0
0.189850,12.866940,0,0
0.190054,12.867980,0,0
0.190259,12.869010,0,0
0.190464,12.870035,0,0
0.190669,12.871075,0,0
0.190874,12.872110,0,0
0.191078,12.873130,0,0
0.191283,12.874150,0,0
0.191488,12.875180,0,0
0.191693,12.876195,0,0
0.191898,12.877205,0,0
0.192102,12.878225,0,0
0.192307,12.879260,0,0
0.192512,12.880310,0,0
0.192717,12.881360,0,0
0.192922,12.882405,0,0
0.193126,12.883435,0,0
0.193331,12.884445,0,0
0.193536,12.885480,0,0
0.193741,12.886505,0,0
0.193946,12.887525,0,0
0.194150,12.888560,0,0
0.194355,12.889585,0,0
0.194560,12.890605,0,0
0.194765,12.891620,0,0
0.194970,12.892640,0,0
0.195174,12.893665,0,0
0.195379,12.894690,0,0
0.195584,12.895700,0,0
0.195789,12.896705,0,0
0.195994,12.897725,0,0
0.196198,12.898750,0,0
0.196403,12.899780,0,0
0.196608,12.900810,0,0
0.196813,12.901830,0,0
0.197018,12.902845,0,0
0.197222,12.903860,0,0
0.197427,12.904860,0,0
0.197632,12.905875,0,0
0.197837,12.906880,0,0
0.198042,12.907890,0,0
0.198246,12.908910,0,0
0.198451,12.909935,0,0
0.198656,12.910950,0,0
0.198861,12.911965,0,0
0.199066,12.912975,0,0
0.199270,12.913980,0,0
0.199475,12.914985,0,0
0.199680,12.915980,0,0
0.199885,12.916975,0,0
0.200090,12.917990,0,0
0.200294,12.919010,0,0
0.200499,12.920030,0,0
0.200704,12.921040,0,0
0.200909,12.922055,0,0
0.201114,12.923065,0,0
0.201318,12.924070,0,0
0.201523,12.925080,0,0
0.201728,12.926100,0,0
0.201933,12.927110,0,0
