Period (s),CommandedVelocity (mm/s),PositionError (mm),PhaseAActualCurrent (mA)
0.290816,0.000000,0.000065,-23.218000
0.291328,0.000000,0.000065,-25.662000
0.291840,0.000000,0.000065,-23.218000
0.292352,0.000000,0.000065,-26.884000
0.292864,0.000000,0.000055,-29.328000
0.293376,0.000000,0.000055,-25.662000
0.293888,0.000000,0.000050,-23.218000
0.294400,0.000000,0.000045,-25.662000
0.294912,0.000000,0.000040,-26.884000
0.295424,0.000000,0.000035,-26.884000
0.295936,0.000000,0.000030,-25.662000
0.296448,0.000000,0.000020,-26.884000
0.296960,0.000000,0.000015,-29.328000
0.297472,0.000000,0.000010,-23.218000
0.297984,0.000000,0.000000,-20.774000
0.298496,0.000000,0.000000,-23.218000
0.299008,0.000000,0.000000,-26.884000
0.299520,0.000000,-0.000005,-23.218000
0.300032,0.000000,-0.000015,-20.774000
0.300544,0.000000,-0.000015,-23.218000
0.301056,0.000000,-0.000020,-23.218000
0.301568,0.000000,-0.000025,-25.662000
0.302080,0.000000,-0.000025,-26.884000
0.302592,0.000000,-0.000025,-20.774000
0.303104,0.000000,-0.000025,-26.884000
0.303616,0.000000,-0.000030,-23.218000
0.304128,0.000000,-0.000025,-19.552000
0.304640,0.000000,-0.000025,-26.884000
0.305152,0.000000,-0.000025,-23.218000
0.305664,0.000000,-0.000025,-26.884000
0.306176,0.000000,-0.000025,-23.218000
0.306688,0.000000,-0.000025,-25.662000
0.307200,0.000000,-0.000020,-20.774000
0.307712,0.000000,-0.000020,-25.662000
0.308224,0.000000,-0.000020,-19.552000
0.308736,0.000000,-0.000015,-25.662000
0.309248,0.000000,-0.000015,-20.774000
0.309760,0.000000,-0.000010,-20.774000
0.310272,0.000000,-0.000010,-20.774000
0.310784,0.000000,-0.000010,-20.774000
0.311296,0.000000,-0.000005,-29.328000
0.311808,0.000000,0.000000,-26.884000
0.312320,0.000000,0.000000,-23.218000
0.312832,0.000000,0.000000,-23.218000
0.313344,0.000000,0.000000,-25.662000
0.313856,0.000000,0.000005,-25.662000
0.314368,0.000000,0.000015,-31.772000
0.314880,0.000000,0.000015,-26.884000
0.315392,0.000000,0.000020,-23.218000
0.315904,0.000000,0.000020,-23.218000
0.316416,0.000000,0.000020,-29.328000
0.316928,0.000000,0.000020,-23.218000
0.317440,0.000000,0.000020,-25.662000
0.317952,0.000000,0.000020,-23.218000
0.318464,0.000000,0.000025,-26.884000
0.318976,0.000000,0.000025,-26.884000
0.319488,0.000000,0.000025,-23.218000
0.320000,0.000000,0.000025,-25.662000
0.320512,0.000000,0.000025,-26.884000
0.321024,0.000000,0.000025,-23.218000
0.321536,0.000000,0.000025,-20.774000
0.322048,0.000000,0.000020,-25.662000
0.322560,0.000000,0.000020,-29.328000
0.323072,0.000000,0.000020,-26.884000
0.323584,0.000000,0.000020,-23.218000
0.324096,0.000000,0.000020,-29.328000
0.324608,0.000000,0.000015,-19.552000
0.325120,0.000000,0.000010,-23.218000
0.325632,0.000000,0.000010,-20.774000
0.326144,0.000000,0.000010,-25.662000
0.326656,0.000000,0.000010,-20.774000
0.327168,0.000000,0.000010,-20.774000
0.327680,0.000000,0.000000,-26.884000
0.328192,0.000000,0.000000,-20.774000
0.328704,0.000000,-0.000005,-31.772000
0.329216,0.000000,-0.000005,-26.884000
0.329728,0.000000,-0.000015,-20.774000
0.330240,0.000000,-0.000015,-25.662000
